generator,run,connectivity,longest_path,avg_path,rect_rooms,prefab_rooms,bfs_rooms
room_accretion,0,0.7976878612716763,36,20.659420289855074,8,4,0
room_accretion,1,1.0,42,22.070422535211268,12,0,0
room_accretion,2,0.922077922077922,55,24.389671361502348,10,2,0
room_accretion,3,1.0,78,44.443349753694584,11,1,0
room_accretion,4,0.9938461538461538,91,45.29102167182663,6,6,0
room_accretion,5,0.9903536977491961,57,34.69155844155844,10,2,0
room_accretion,6,1.0,35,21.65326633165829,12,0,0
room_accretion,7,1.0,67,36.90204081632653,11,1,0
room_accretion,8,1.0,78,39.43783783783784,10,2,0
room_accretion,9,1.0,93,48.796561604584525,12,0,0
room_accretion,10,0.992619926199262,84,43.594795539033456,7,5,0
room_accretion,11,1.0,67,37.08045977011494,11,1,0
room_accretion,12,0.9888475836431226,57,35.2406015037594,9,3,0
room_accretion,13,0.9283667621776505,48,25.429012345679013,10,2,0
room_accretion,14,1.0,90,39.4804469273743,11,1,0
room_accretion,15,0.985981308411215,56,33.3696682464455,9,3,0
room_accretion,16,0.9715639810426541,52,31.44878048780488,10,2,0
room_accretion,17,0.9931506849315068,70,33.61724137931034,8,4,0
room_accretion,18,0.9968253968253968,56,32.703821656050955,9,3,0
room_accretion,19,0.9887218045112782,55,29.334600760456272,9,3,0
room_accretion,20,0.9962825278810409,75,38.16044776119403,8,4,0
room_accretion,21,1.0,55,29.83646112600536,11,1,0
room_accretion,22,0.9866666666666667,68,32.391891891891895,6,6,0
room_accretion,23,0.9866220735785953,66,35.81694915254237,9,3,0
room_accretion,24,1.0,46,24.983606557377048,10,2,0
room_accretion,25,0.9487179487179487,67,33.26013513513514,9,3,0
room_accretion,26,0.9957264957264957,46,23.935622317596568,7,5,0
room_accretion,27,1.0,51,27.31578947368421,10,2,0
room_accretion,28,0.9320388349514563,75,39.885416666666664,11,1,0
room_accretion,29,0.8184713375796179,67,33.77431906614786,10,2,0
room_accretion,30,0.9877551020408163,42,23.628099173553718,8,4,0
room_accretion,31,0.9957446808510638,60,35.62820512820513,10,2,0
room_accretion,32,1.0,52,24.294871794871796,9,3,0
room_accretion,33,0.9930313588850174,62,36.88070175438597,10,2,0
room_accretion,34,0.018518518518518517,3,1.5,9,3,0
room_accretion,35,0.9956896551724138,75,39.05194805194805,9,3,0
room_accretion,36,1.0,55,29.183266932270918,9,3,0
room_accretion,37,1.0,54,28.699481865284973,11,1,0
room_accretion,38,1.0,48,25.885906040268456,7,5,0
room_accretion,39,1.0,56,29.84084084084084,10,2,0
room_accretion,40,0.9851851851851852,69,40.1203007518797,8,4,0
room_accretion,41,0.9925925925925926,58,29.182835820895523,9,3,0
room_accretion,42,0.975,70,40.84615384615385,7,5,0
room_accretion,43,1.0,69,37.8671096345515,7,5,0
room_accretion,44,0.027874564459930314,4,2.0,9,3,0
room_accretion,45,1.0,43,26.460714285714285,9,3,0
room_accretion,46,0.8557377049180328,79,39.26819923371647,9,3,0
room_accretion,47,1.0,57,30.325925925925926,8,4,0
room_accretion,48,0.9943181818181818,35,19.24,8,4,0
room_accretion,49,1.0,49,27.861244019138756,9,3,0
room_accretion,50,0.9234042553191489,57,30.442396313364057,12,0,0
room_accretion,51,0.997289972899729,78,47.34239130434783,11,1,0
room_accretion,52,0.0594059405940594,6,3.0,8,4,0
room_accretion,53,0.9843260188087775,66,36.94267515923567,9,3,0
room_accretion,54,1.0,75,43.324858757062145,12,0,0
room_accretion,55,1.0,68,35.33116883116883,10,2,0
room_accretion,56,0.9912023460410557,63,30.71301775147929,10,2,0
room_accretion,57,0.011019283746556474,3,1.5,10,2,0
room_accretion,58,0.9959514170040485,60,34.1910569105691,9,3,0
room_accretion,59,0.9950124688279302,91,52.8796992481203,9,3,0
room_accretion,60,0.9923954372623575,76,39.6551724137931,9,3,0
room_accretion,61,0.9217391304347826,37,18.547169811320753,6,6,0
room_accretion,62,0.030534351145038167,7,3.5,10,2,0
room_accretion,63,0.9841269841269841,77,35.52903225806452,8,4,0
room_accretion,64,0.9869565217391304,74,43.21145374449339,6,6,0
room_accretion,65,1.0,69,30.356435643564357,10,2,0
room_accretion,66,0.9879518072289156,56,27.817073170731707,10,2,0
room_accretion,67,0.9888268156424581,57,29.497175141242938,7,5,0
room_accretion,68,1.0,47,22.96969696969697,10,2,0
room_accretion,69,0.9863945578231292,42,20.193103448275863,6,6,0
room_accretion,70,0.9899665551839465,55,29.2972972972973,9,3,0
room_accretion,71,0.9962121212121212,80,41.05703422053232,10,2,0
room_accretion,72,0.9711538461538461,51,24.81188118811881,7,5,0
room_accretion,73,0.9791666666666666,66,31.588652482269502,8,4,0
